id,answer,question,desc,ref
4cc991ac-e567-445c-b557-61436c969fe5,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý trình điểu khiển trên Windows; hay sai?,* Driver: Trình điều khiển,
45e37dc9-5128-4cc9-8aca-f8e8d39fb60b,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý tác vụ lập lịch trên Windows; hay sai?,* Scheduled tasks: Tác vụ lập lịch,
ee1a9da2-676c-4b55-91bb-12aab3a622dd,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý tường lửa trên Windows; hay sai?,* Firewall: Tường lửa,
f05508fa-2b4f-45ea-8de7-9a9469ba689c,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể thay đổi thông tin người dùng trên Active Directory của Windows Server; hay sai?,,
68b3aa1e-f1ff-4de9-8687-c54a8612607f,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể thiết lập các quy tắc truy cập có điều kiện {BRIGHT_CYAN}(qua Graph){RESET} trên Microsoft 365/Exchange Online; hay sai?,* Conditional access (CA): Quy tắc truy cập có điều kiện,
8699b28e-f706-46d9-adde-46572bbbe5c0,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể thiết lập quyền hộp thư trên Microsoft 365/Exchange Online; hay sai?,,
72b8e27c-8a30-4e35-ba98-138c3f2bb650,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể thêm người dùng vào một nhóm trên Active Directory của Windows Server; hay sai?,,
c6a5ffe1-fa0d-48b4-8719-84580af97782,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể triển khai tài nguyên qua mã kịch bản trên Azure Cloud; hay sai?,* Scripts: mã kịch bản,
0b0c0d87-3524-49a8-8f0b-b72adb92149d,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể triển khai ứng dụng trên Intune / Endpoint Manager; hay sai?,,
655c2c12-eb55-4ebd-a314-8c1da99a0aeb,Đúng,"Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo hàng loạt người dùng từ file bảng tính {BRIGHT_CYAN}(.csv, .xlsx, ...){RESET} trên Active Directory của Windows Server; hay sai?",,
899be4f5-a198-4288-993f-2392b1b7168b,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo hộp thư trên Microsoft 365/Exchange Online; hay sai?,,
11aeb707-53d5-40ea-8ea3-f20c76b607f1,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo khu lưu trữ trên Azure Cloud; hay sai?,,
756fed72-8521-40fa-9f3e-14afbd884037,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo máy ảo trên Azure Cloud; hay sai?,* Virtual Machines: Máy ảo,
a998b9f5-d7ed-4758-b264-b2e93aee9693,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo mạng trên Azure Cloud; hay sai?,,
9ae9250d-fc6b-4e44-b69a-aa652ccafc38,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo người dùng trên Active Directory của Windows Server; hay sai?,,
f03ad737-acad-43a1-a0da-973baa167668,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể tạo ra các đơn vị tổ chức trên Active Directory của Windows Server; hay sai?,* Organizational units (OUs): Đơn vị tổ chức,
f7fb8712-69bf-481c-98e3-81467d41e506,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể xem báo cáo và nhật ký trên Intune / Endpoint Manager; hay sai?,,
e22213e4-3367-4bc8-a944-dcf6bcc7cbff,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể xóa người dùng trên Active Directory của Windows Server; hay sai?,,
ca62416a-73ae-4865-9d28-a2645939a234,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể đặt lại mật khẩu người dùng trên Active Directory của Windows Server; hay sai?,,
